Actual,Predicted
1251688.6157028745,1260960.705676273
873048.3196423554,827588.7556032892
1696977.6628325956,1742421.242543439
1063964.287873947,974625.3873989326
948788.2757094484,998717.8420198811
730043.6450595969,645754.0883667325
1166925.1461488248,1083215.9091546978
705444.1167909042,855334.9487235374
1499988.8795226102,1445671.400305917
1288199.1527291734,1202846.0143898143
1441736.7608375724,1453523.0932085211
1279681.154396593,1300542.3133337228
1754969.16194479,1733528.806065788
1511653.454803501,1341624.3429648331
1441956.2019363926,1391232.4267379218
1119992.6188354518,1225767.5181172169
727866.5251679078,618354.4262642819
1138885.104005277,966203.198914161
1074263.3172363583,1221416.1751375608
1386473.3653813817,1200407.5840991219
404643.60224269313,511454.9256355581
1449829.493750261,1767174.7795935688
1775874.7601040124,1855388.6927825161
1202050.5842604076,1200300.8312457027
1105737.4615438494,1064847.4628644567
1835564.6892077709,1811869.2228306918
1795428.7743897976,1769580.5875804923
1424283.373183943,1440985.6122159106
1365945.0827829945,1388078.3409561063
1492011.495862129,1544901.8343432755
624432.9659944219,729009.371127008
1827476.1960615185,1757813.950031036
1575680.036970013,1464186.7064188863
1051519.065766143,1031583.3943269146
1454681.9367671097,1287508.4293181733
973197.775347568,912315.765673269
1166750.3128596384,1185050.602871276
883021.8963767654,998348.963294935
1329800.0461904877,1328377.1612586859
743212.4194633622,781077.2362461998
1412144.508444236,1393085.2533512698
723750.0652577134,577488.0226282361
728402.000075194,828358.6355239912
1845325.3567773984,1899544.8355469364
1708127.5780654566,1675087.471261255
922054.1319412548,971591.0406101863
1243879.8299386548,1131053.5659582252
882057.1705928424,797619.6996645317
1050239.9038404576,1164820.0333192036
1521141.3453009825,1475837.5119133508
1534111.5806179212,1460010.275704959
1221823.704469835,1161333.3846803657
1279803.950080495,1101593.8897729218
1203623.8408419904,1359801.599323805
776906.326934832,845721.0997525882
1143377.601699577,988618.58753342
1148720.9050037193,1123816.1330754468
1129798.3727253522,1256061.7994022355
1388596.243304004,1428491.5711607072
727366.947448545,501890.34384816047
1500821.46909593,1465556.0216427874
1059406.1303480302,1111763.9766890644
750119.7266122982,658035.5527297109
1246830.1884286287,1248130.6459659715
1445731.6259433646,1349720.8622849025
1352547.6933606025,1353984.6298790718
786430.8996307264,819510.3474628655
1400498.2675747594,1488066.64278974
1454699.2314104706,1399366.7505045193
996924.6914267289,884890.7416265388
914325.029151274,858595.0011433237
1324382.1755828236,1214521.1959153288
1211442.9407654293,1104148.6452049743
1740719.10656986,1832196.0197097654
837540.1697407691,924049.3521055384
831471.5304107015,855322.037747452
894203.5715459331,826846.5278383559
1295014.6182810178,1399302.2698922302
773360.6979872095,778249.892834424
1735826.005205352,1643043.7204727302
1089601.88163052,1083353.7078017145
1560838.450232807,1356241.5909907157
1359762.6936754046,1320548.1178052933
1348873.4268637958,1206845.4442821988
555811.4067429452,756183.2283361391
745523.8383444332,653768.7366525964
896303.7991791363,1064215.7512563998
1382172.2937066122,1389379.4219062496
1027311.507673405,1032945.5602137921
1183272.5108070918,1295784.4381623678
674817.5428265561,553100.5478848149
1587350.293656894,1706820.1473488635
861013.9460775609,844640.9563633082
1456969.5768219477,1628500.643158699
920498.9373832784,1051340.1985727814
987004.0836743772,947440.7604984907
1237224.8587518162,1188563.7417857712
1390870.0954755268,1559937.4652988496
814879.206289094,901206.5378490728
1086447.5106632377,995616.7737171319
1205212.2919847155,1222851.490906781
1641226.5842989285,1592702.5879049427
1101239.492185515,981526.0457796757
1443470.037082047,1428773.7312917649
865816.6759261268,1016513.2501528026
1603268.2110607368,1451523.5179975284
792449.5430652391,877897.8185952408
939040.0035601156,833137.3651143801
897479.9501690639,1029993.8523752848
1898168.6840543696,1840635.6948641255
1877941.971423074,1928180.3641160545
1321388.619330872,1408835.128107184
1218635.851406522,1040485.0145684937
1046818.06975883,1063086.2778666215
1462422.2560780605,1440078.0446849759
1020536.1908295144,1031307.2841776856
1356146.2608426227,1192306.968722161
1474546.7621461137,1410181.8953546528
1167918.058868265,1262435.5940821352
1794014.297854993,1562022.510840423
689155.5684279174,764562.4991489872
1190213.5129050135,1390803.3337798775
2120888.345209633,2083748.3998970124
1472809.4869159523,1469355.9923404674
1172188.1935091391,1324762.4942931524
1315828.8598351076,1314636.3117745956
911656.1052977764,924129.2574031642
685775.5980289889,784111.2231643521
1856211.350359604,1677675.2714708247
1079000.316267436,1172966.1080893865
936864.687834366,867097.0383170038
714148.4147529015,831845.6639987384
1523915.1446841708,1555631.9258505362
842235.8033529122,814625.3742423696
686644.610408734,632760.739339367
1085534.178573738,1235657.94846512
1064939.5225198085,1006734.9327656897
1072253.833655116,1132923.0236773784
1760880.447507333,1761684.4006702728
1186019.796113567,1187684.9851628654
481391.6433219672,589759.6339013628
1481940.7615078837,1393809.6608151612
1574181.7317531754,1385366.3222228126
1816152.2669641247,1732613.1056894069
1110394.025220747,1171444.553224836
1030729.5831522896,1016779.0343452897
1727982.9870259946,1728910.695027934
1309937.3987664254,1099285.1898419955
1554301.938081737,1647018.07666311
1419536.2589499224,1427915.929276158
1309829.9356107984,1372601.4516825727
1012321.5738436627,960910.5353583298
1705889.8866984083,1761628.7007400398
1028683.0448748892,1217533.2791833193
1110525.988673923,1226227.9266212857
839745.6833340527,956037.1586489785
1240754.932046382,1238663.3772617257
1341449.5715910238,1261534.3805050044
1366405.9719604012,1277196.0422940534
1014226.2985707616,1126430.8438513284
1512578.5529247157,1512089.5960759474
1699952.8144478828,1560751.4497455428
925394.135004886,806017.5714970878
1626368.6673131543,1548955.3884252007
1280910.189933004,1278939.4015962435
1110931.8257023671,1054376.4282165882
1239459.8148165469,1256725.4089547717
1676172.304855517,1651378.5357951014
937628.3466936616,1107235.2211313327
483986.10899252974,479391.2608210165
1473071.9543045457,1651520.7889120472
